Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Renato Tapia,PER,MF,Celta Vigo,27,15,695,0.39,0,0,0,0,0,0,52.3,44.9,1.56,1.04,60,2.73,1.56,1.56,1.3,0.13,0.52,0.26,1.17,0.65,0
Aurélien Tchouaméni,FRA,MF,Real Madrid,23,16,1062,0.08,0,0,0,0,0.17,0,70.5,65.5,2.29,0.93,71.1,2.54,1.53,2.12,1.53,0,1.44,0.17,1.36,0.42,0
Alex Telles,BRA,DF,Sevilla,30,13,753,0.48,0,0,0,0,0.24,0,50.1,36.9,1.43,0.95,60,1.07,0.6,1.07,1.67,0,0.48,0,0.95,6.67,0
Marc-André ter Stegen,GER,GK,Barcelona,30,20,1800,0,0,0,0,0,0,0,37.8,32,0.2,0,100,0,0,0.2,0,0,0,0,0,0,0
Ramón Terrats,ESP,MF,Girona,22,8,212,0,0,0,0,0,0,0,40,32.1,0,2.92,0,1.67,0.83,1.25,1.25,0,1.67,0,1.25,0.83,0
Raúl de Tomás,ESP,FW,Rayo Vallecano,28,2,34,0,0,0,0,0,0,0,12.5,7.5,2.5,7.5,25,2.5,0,0,5,0,10,0,2.5,0,0
Pablo Torre,ESP,FW,Barcelona,19,1,14,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,5,0
David Torres,ESP,DF,Valladolid,19,2,101,0,0,0,0,0,0,0,70.9,53.6,1.82,1.82,50,0.91,0.91,2.73,0,0,0,0,0.91,0.91,0
Ferrán Torres,ESP,FW,Barcelona,22,17,645,0.56,0.14,2,0,0,0,0,35.1,27.6,0.14,0.42,25,0.69,0.28,0.42,1.25,0,3.75,0.97,1.94,1.94,0
Óliver Torres,ESP,MFFW,Sevilla,28,19,1402,0.06,0,3,0,0,0.06,0,50.3,39.7,0.19,0.71,21.4,1.6,1.03,0.38,0.9,0,1.03,0.26,2.05,2.44,0
Pau Torres,ESP,DF,Villarreal,26,17,1530,0.41,0,0,0,0,0,0,63,54.7,1.29,1.47,46.8,1.06,0.53,4.41,0.71,0,0.29,0,0.76,0.06,0.12
Roberto Torres,ESP,FWMF,Osasuna,33,2,11,0,0,0,0,0,0,0,130,120,0,0,0,0,0,0,0,0,0,0,0,20,0
Lucas Torró,ESP,MF,Osasuna,28,19,1502,0.36,0,0,0,0,0,0,41.1,33.7,2.16,1.92,52.9,1.8,1.2,2.1,2.1,0,1.08,0.18,1.32,0.06,0
Nabil Touaizi,MAR,MF,Espanyol,22,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Óscar Trejo,ARG,MFFW,Rayo Vallecano,34,18,1208,0.6,0,2,0.07,0.15,0.22,0,42.1,34,0.45,1.72,20.7,1.87,1.42,0.37,3.21,0,0.67,0.22,3.13,1.79,0
Manu Trigueros,ESP,MFFW,Villarreal,31,11,380,0.48,0,0,0,0,0,0,54.3,48.6,0.24,1.43,14.3,1.67,0.95,0.48,1.43,0,0.71,0.24,1.67,0.24,0
Viktor Tsyhankov,UKR,MF,Girona,25,2,41,0,0,0,0,0,0,0,36,28,0,0,0,0,0,0,2,0,0,0,2,2,0
Beñat Turrientes,ESP,MFFW,Real Sociedad,21,6,106,0,0,0,0,0,0,0,39.2,33.3,0,1.67,0,3.33,2.5,2.5,1.67,0,0,0,0.83,3.33,0
Enes Ünal,TUR,FW,Getafe,25,20,1731,0.21,0,6,0.05,0.1,0.16,0,22.5,14.4,4.11,4.95,45.4,0.78,0.47,1.35,1.56,0,2.34,0.73,2.45,0.52,0
Oscar Ureña,ESP,MF,Girona,20,3,100,0,0,0,0,0,0,0,20,13.6,0,0.91,0,3.64,1.82,0,1.82,0,0.91,0.91,0.91,3.64,0
Óscar Valentín,ESP,MF,Rayo Vallecano,28,17,1220,0.44,0,0,0,0,0,0,44.6,36.8,1.03,1.54,40,3.9,1.99,1.03,3.01,0,0.66,0,1.47,0.15,0
Valery,ESP,MFDF,Girona,23,15,575,0.16,0,0,0,0,0.31,0,32.8,28.6,0.47,0.47,50,1.09,0.47,0.94,0.16,0.16,0.63,0,1.41,2.03,0.16
Enrique Valiente,ESP,DF,Sevilla,20,6,368,0.24,0.24,1,0,0,0.24,0,51.5,43.2,2.2,1.46,60,0.24,0.24,5.61,0.98,0.24,0.73,0.24,0.24,0,0
Martin Valjent,SVK,DF,Mallorca,27,18,1598,0.39,0,0,0,0,0,0,40.1,32.3,0.9,0.34,72.7,0.96,0.67,3.93,1.07,0.06,0.06,0,0.22,0.28,0
Manu Vallejo,ESP,FWMF,Girona,25,7,206,0,0,0,0,0,0.43,0,38.7,29.6,0,2.17,0,1.74,0.43,1.3,0.43,0,0.43,0.43,2.61,3.04,0.87
Federico Valverde,URU,FWMF,Real Madrid,24,20,1529,0.12,0,6,0,0,0.12,0,56.4,49.5,1,0.29,77.3,1.06,0.65,0.53,0.41,0,2.41,0.88,0.59,0.88,0
Jesus Vazquez,ESP,DFMF,Valencia,20,6,171,0.53,0,0,0,0,0,0,52.1,41.6,0,1.05,0,2.11,2.11,1.58,1.58,0,1.58,0,0,3.16,0
Kevin Vázquez,ESP,MFDF,Celta Vigo,29,4,90,0,0,0,0,0,0,0,53,43,0,1,0,3,1,5,5,0,0,0,1,3,0
Lucas Vázquez,ESP,DF,Real Madrid,31,10,426,0.21,0,2,0,0,0,0,74.7,65.1,0,0.85,0,2.77,1.49,0.85,1.7,0,1.49,0.64,1.06,3.4,0
Gabriel Veiga,ESP,MF,Celta Vigo,20,19,1037,0.26,0.09,6,0,0,0.17,0,34.4,25.9,0.78,0.61,56.3,1.74,0.7,0.26,1.83,0,2.7,1.48,0.87,1.48,0
Unai Vencedor Paris,ESP,MF,Athletic Club,22,6,141,1.25,0,0,0,0,0,0,56.9,50.6,0.63,0,100,1.88,0.63,0,5,0,1.88,0.63,1.25,1.25,0
Gonzalo Verdú,ESP,DF,Elche,34,8,436,0.21,0.42,1,0,0,0,0,42.1,34.4,2.29,1.88,55,0.83,0.21,4.58,1.88,0,1.04,0.42,0.42,0,0
Mikel Vesga,ESP,MF,Athletic Club,29,20,1485,0.18,0,2,0.06,0.06,0.12,0,54.1,44.5,2.18,1.64,57.1,1.82,0.97,1.45,1.52,0,0.73,0.06,0.73,0.36,0.06
